User Input,Chatbot Response,Timestamp
Hi,Hello,12-03-2025 01:38;53
hi,Hello,12-03-2025 01:42;09
goodbye,Take care,12-03-2025 01:46;48
Hi,"I'm fine, thank you",12-03-2025 10:05;22
good moring,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",12-03-2025 10:05;35
Hi,Nothing much,12-03-2025 10:07;24
night,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,12-03-2025 10:07;32
Hi,Nothing much,12-03-2025 10:08;00
hi,Hello,12-03-2025 21:41;57
Hi,Hello,12-03-2025 21:42;38
how are you,My purpose is to assist you,12-03-2025 21:42;49
i want 10 line scode,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",12-03-2025 21:43;04
good moring ,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,12-03-2025 21:50;00
good morning,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,12-03-2025 21:50;08
Hi,Hello,12-03-2025 23:36;24
Hi,"I'm fine, thank you",16-10-2025 22:24;40
good morning,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,16-10-2025 22:24;59
hi,Hey,16-10-2025 22:26;28
how are you,My purpose is to assist you,16-10-2025 22:26;36
good morning,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,16-10-2025 22:26;49
hi,Hello,16-10-2025 22:28;04
Hi,"I'm fine, thank you",13-03-2026 10:47;09
good morning,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,13-03-2026 10:47;59
thank you,Glad I could help,13-03-2026 10:48;42
i need help,I'm here to help. What's the problem?,13-03-2026 10:48;56
